,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,danceability_energy_ratio,danceability_valence_ratio
919,,0.449,0.901,6,-7.711,1,0.0526,0.141,0.0675,0.128,0.696,125.148,356400.0,4,rock,0.404549,0.312504
926,,0.442,0.935,9,-6.903,1,0.0424,0.0524,0.000307,0.188,0.514,151.448,212013.0,4,rock,0.41327,0.227188
927,,0.492,0.709,2,-9.66,1,0.0359,0.0113,0.00564,0.153,0.264,125.799,336613.0,4,rock,0.34882799999999997,0.129888
929,,0.457,0.794,1,-6.624,0,0.0298,0.000384,7.18e-05,0.131,0.354,90.439,231280.0,4,rock,0.362858,0.161778
936,,0.444,0.703,7,-9.443,1,0.0641,0.00112,0.0761,0.127,0.419,106.228,447440.0,4,rock,0.31213199999999997,0.186036
938,,0.45,0.658,2,-7.064,1,0.0472,0.648,3.14e-06,0.264,0.781,106.799,287307.0,4,rock,0.29610000000000003,0.35145000000000004
948,,0.441,0.908,11,-4.627,0,0.115,0.000183,0.00328,0.0612,0.632,145.439,287400.0,4,rock,0.400428,0.278712
949,,0.472,0.946,2,-4.591,1,0.145,0.0372,0.0,0.352,0.486,177.489,201027.0,4,rock,0.44651199999999996,0.22939199999999998
951,,0.453,0.905,9,-4.001,1,0.115,0.36,0.000569,0.26,0.474,137.571,296200.0,4,rock,0.409965,0.214722
960,,0.488,0.862,0,-7.595,1,0.0476,0.0204,0.0,0.359,0.706,104.56,257827.0,4,rock,0.420656,0.344528
965,,0.452,0.524,0,-10.108,1,0.0351,0.315,0.0,0.103,0.246,151.505,312360.0,4,rock,0.236848,0.111192
967,,0.496,0.718,1,-9.554,1,0.0459,0.0954,0.0297,0.0775,0.37,101.735,278933.0,4,rock,0.356128,0.18352
968,,0.439,0.434,7,-14.918,1,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,274707.0,4,rock,0.190526,0.089556
976,,0.467,0.324,2,-10.451,1,0.0255,0.615,0.0248,0.118,0.166,94.301,320267.0,3,rock,0.15130800000000003,0.07752200000000001
982,,0.419,0.672,2,-6.353,1,0.092,0.623,0.0,0.412,0.304,105.212,316467.0,4,rock,0.281568,0.127376
983,,0.472,0.652,1,-10.171,0,0.0305,0.0131,1.12e-05,0.14,0.401,140.124,340200.0,4,rock,0.307744,0.189272
986,,0.438,0.905,9,-6.161,1,0.0419,9.44e-06,5.4e-05,0.363,0.723,134.163,162667.0,4,rock,0.39639,0.316674
989,,0.487,0.852,10,-7.184,1,0.0489,0.0376,4.06e-06,0.0995,0.666,143.258,266733.0,4,rock,0.41492399999999996,0.324342
993,,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,354320.0,4,rock,0.16725600000000002,0.092736
1001,,0.476,0.628,1,-13.896,1,0.0558,0.219,0.0071,0.0852,0.745,110.201,192213.0,4,rock,0.29892799999999997,0.35462
1004,,0.493,0.66,1,-10.198,1,0.0457,0.188,0.0298,0.094,0.307,100.977,281160.0,4,rock,0.32538,0.15135099999999999
1010,,0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,206267.0,4,rock,0.15295,0.183825
1012,,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,334744.0,4,rock,0.126022,0.180375
1021,,0.443,0.855,9,-3.674,1,0.0324,0.000192,0.0102,0.353,0.466,105.84,308333.0,3,rock,0.378765,0.206438
1027,,0.437,0.625,11,-6.89,1,0.032,0.00143,0.00506,0.109,0.26,124.887,284160.0,4,rock,0.273125,0.11362
1028,,0.453,0.543,0,-10.106,1,0.0366,0.297,0.0,0.0928,0.282,151.362,313227.0,4,rock,0.24597900000000003,0.127746
1031,,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,300400.0,4,rock,0.35403599999999996,0.07335
1034,,0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394,295387.0,4,rock,0.377568,0.327313
1035,,0.497,0.864,5,-7.921,0,0.0937,0.0135,0.0981,0.367,0.761,159.716,224093.0,4,rock,0.429408,0.378217
1039,,0.438,0.461,9,-9.338,1,0.0382,0.154,0.0,0.0529,0.31,116.028,174907.0,4,rock,0.20191800000000001,0.13578
1040,,0.407,0.565,3,-11.487,0,0.0322,0.361,0.000142,0.105,0.502,125.096,430453.0,4,rock,0.22995499999999996,0.204314
1042,,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,240800.0,4,rock,0.35259,0.24703199999999997
1045,,0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,235547.0,4,rock,0.42475399999999996,0.382184
1047,,0.407,0.413,0,-8.129,1,0.0302,0.332,4.49e-06,0.107,0.556,144.338,243173.0,4,rock,0.168091,0.226292
1054,,0.465524372,0.69058915,6,-6.341982807,0,0.058974352,0.055433453,0.001158304,0.219556426,0.465609618,131.1007728,256568.1603,4,rock,0.3214860803637638,0.2167526250166099
1057,,0.448946998,0.743386108,4,-7.602775517,0,0.050349644,0.086551681,0.001119391,0.264749019,0.593219463,107.9169992,218422.6427,4,rock,0.3337409615415038,0.26632409706902205
1058,,0.475245714,0.82824136,6,-6.631880704,0,0.039096131,0.010663515,0.002227072,0.226925779,0.462278105,142.8756604,212268.249,4,rock,0.39361815649753107,0.21969568807729195
1059,,0.498857632,0.871316041,7,-7.291241443,0,0.04713447,0.01276065,0.002497386,0.150971351,0.331754465,112.4588184,234582.3075,4,rock,0.43466265693687495,0.16549824681532688
1060,,0.469049895,0.736825606,5,-7.671995974,0,0.04367817,0.016038198,0.003538462,0.163947692,0.588291465,116.7402977,219920.833,4,rock,0.3456079731276114,0.27593804988764614
1061,,0.471312383,0.844197744,3,-6.027075412,0,0.059841018,0.008597297,0.001625627,0.161822197,0.379728954,133.9386185,256706.2491,4,rock,0.397880850447864,0.17897095820383738
1063,,0.477620585,0.800903651,8,-7.915944169,0,0.062319923,0.04408338,0.002913196,0.204198197,0.477274873,143.8194684,243551.5203,4,rock,0.38252807031925584,0.2279563040480607
1064,,0.417831285,0.683202328,8,-5.082858728,0,0.050106226,0.03637117,0.001696659,0.163629601,0.464083948,112.1523075,201984.8228,4,rock,0.2854633066232315,0.19390879234071318
1075,,0.441362691,0.763167901,5,-6.593282185,0,0.059468809,0.010250718,0.004081031,0.224471516,0.554134728,104.9824171,223964.5915,4,rock,0.33683383847018156,0.244574394726633
1078,,0.490766626,0.843820885,4,-5.819629567,0,0.046149877,0.044855368,0.0011849,0.260991089,0.6023199,107.3421888,229140.0951,4,rock,0.41411912867978395,0.2955985050956574
1085,,0.457392222,0.711077011,4,-7.905268351,0,0.057555888,0.051618697,0.003635755,0.176567352,0.496674461,124.3990851,245033.6921,4,rock,0.32524109407440843,0.22717503532744235
1086,,0.471525093,0.78695194,5,-5.116851323,0,0.050880003,0.073870363,0.002233384,0.203936275,0.568115026,105.2002832,200086.0609,4,rock,0.3710675866950304,0.2678804904693474
1089,,0.452380633,0.893834019,3,-5.953658488,0,0.054326541,0.043429228,0.001713179,0.237811584,0.523517877,141.7567087,254097.0552,4,rock,0.404353199312154,0.23682934858407612
1091,,0.448275307,0.774331638,5,-7.746294689,0,0.033507414,0.005623863,0.004871727,0.142976631,0.548642051,122.0856328,266398.3574,4,rock,0.34711375274426287,0.24594268384513465
1093,,0.443527715,0.840832928,8,-5.444487325,0,0.060995875,0.003434291,0.002987726,0.119447218,0.67337627,110.1784008,199317.2237,4,rock,0.3729327072525995,0.29866103836832303
1094,,0.492698784,0.662239035,6,-5.638253586,0,0.056645084,0.03617158,0.00168084,0.097341702,0.580825011,118.0133029,236256.5893,4,rock,0.32628436726183346,0.2861717766364866
1095,,0.477140478,0.839174611,5,-4.832959725,0,0.05165414,0.069774522,0.002593314,0.262696823,0.336882871,136.6726765,221430.0827,4,rock,0.40040417501800407,0.16074045409895232
1097,,0.458662828,0.789673752,8,-5.4574858,0,0.048939668,0.009632537,0.002845824,0.259805906,0.589857972,123.7993962,222465.2807,4,rock,0.3621939962896907,0.2705459255558648
1098,,0.458361695,0.897199247,5,-7.234784326,0,0.049925568,0.026507326,0.002521488,0.128484673,0.642696204,110.1140227,235492.8097,4,rock,0.4112417676076437,0.2945873214355058
1099,,0.417192443,0.757069554,8,-5.718740965,0,0.054290562,0.060395042,0.002621743,0.167176961,0.412903115,117.3486859,271544.519,4,rock,0.31584369675418045,0.17226005926915994
1102,,0.461731112,0.746318674,8,-7.388930478,0,0.052296439,0.038529556,0.000662079,0.128350093,0.6162908,147.3056392,269380.2807,4,rock,0.3445985512523855,0.2845606363993696
1103,,0.476814313,0.703513033,5,-7.22051068,0,0.05944194,0.061631621,0.002386987,0.200957695,0.512522875,116.9460045,268144.8909,4,rock,0.3354450835164413,0.2443782425399099
1105,,0.425302236,0.892307525,8,-7.175948852,0,0.061620025,0.052981214,0.001321172,0.095533876,0.539187106,128.1049397,218698.1938,4,rock,0.3795003855821259,0.229317481804169
1108,,0.469175208,0.762432198,7,-5.267627306,0,0.034440612,0.020154423,0.003669398,0.18077983,0.670846948,143.58657,271604.8253,4,rock,0.35771428508254716,0.3147447563640652
1110,,0.431015072,0.791902302,7,-7.284604596,0,0.043568226,0.006412169,0.002339728,0.196962279,0.523732889,138.0147087,208328.3922,4,rock,0.34132182771349573,0.22573676886110303
1111,,0.428919471,0.751578957,2,-5.549758758,0,0.044773425,0.065378334,0.004413988,0.149643,0.519507503,137.3859872,274919.2289,4,rock,0.32236684865117177,0.22282688336729092
1112,,0.429050104,0.871426416,2,-6.339205668,0,0.048037196,0.036042666,0.002625539,0.165940595,0.674770206,114.748691,250667.3675,4,rock,0.3738855944131473,0.2895102270604014
1114,,0.446227219,0.701703783,4,-6.826493182,0,0.050349322,0.001434893,0.00191463,0.166120578,0.593059659,118.773302,225171.475,4,rock,0.3131193276498695,0.26463936233665836
1115,,0.423216546,0.801605398,2,-5.008235343,0,0.035448557,0.04934725,0.002810759,0.192035492,0.414449339,131.8632208,244226.4228,4,rock,0.3392526677965153,0.17540181774356312
1117,,0.434569614,0.897496425,8,-6.614039166,0,0.055179404,0.041063711,0.003466847,0.112187773,0.350165471,135.8707874,203314.8592,4,rock,0.39002467497862997,0.1521712735685982
1118,,0.462633292,0.817776781,7,-4.96156582,0,0.045949702,0.028356674,0.003309329,0.172767529,0.520084429,138.6407554,232644.9731,4,rock,0.378330764315193,0.24060837150621023
1120,,0.488451188,0.833340381,8,-4.922299103,0,0.044620309,0.040949598,0.001725286,0.121216045,0.600018335,124.3854563,217122.4777,4,rock,0.4070460991078226,0.293079668552532
1121,,0.436787269,0.754497064,5,-6.788009287,0,0.037695292,0.030313018,0.004570617,0.200267436,0.571235939,116.1421339,220906.0966,4,rock,0.32955471205307824,0.2495085857504606
1126,,0.492586002,0.850388444,6,-6.74638047,0,0.050396806,0.05181093,0.000188555,0.141508588,0.672552903,109.9322912,209683.8652,4,rock,0.4188894437769609,0.33129014562226383
1127,,0.415350986,0.782591395,3,-7.23375768,0,0.033913468,0.070659008,0.004807302,0.192155597,0.534066381,123.7803166,252260.0548,4,rock,0.32505010754836544,0.22182499793780167
1128,,0.493130771,0.764122815,3,-7.410766326,0,0.039063436,0.022275021,0.000530665,0.236883155,0.567227395,125.8008412,196190.0646,4,rock,0.37681247289964037,0.2797172826286715
1130,,0.463259106,0.687726869,8,-5.42920579,0,0.058052381,0.078402938,0.001501851,0.100899565,0.668471444,108.6498534,235976.1482,4,rock,0.31859573450511913,0.30967548353396906
1132,,0.472523381,0.86190643,8,-7.779751548,0,0.036490382,0.039876713,0.004320392,0.095510312,0.530330175,124.6264076,219655.9058,4,rock,0.40727094040923983,0.2505934073373217
1134,,0.450227619,0.691828002,7,-7.81907453,0,0.063012914,0.062377327,0.000537029,0.23614927,0.543920399,124.8131876,213706.2221,4,rock,0.3114800740979873,0.24488798616729998
1135,,0.497343527,0.856856836,7,-7.151760642,0,0.039765959,0.05471056,0.000177113,0.115954485,0.629570145,128.3867819,217279.4386,4,rock,0.42615220095030054,0.3131126364082014
1139,,0.483324928,0.771481104,4,-6.531874781,0,0.049049466,0.030337933,0.001692905,0.132706854,0.618681375,143.7565859,212191.1128,4,rock,0.3728760490441605,0.29902413102681596
