,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
509,spotify:track:2lBUvk3cqv01K66QrqLzif,0.412,0.424,0,-14.637,0,0.0378,0.847,0.961,0.271,0.386,155.932,173360,3,Classical
514,spotify:track:645y7Ox2K1XpHleGLoquGi,0.421,0.233,0,-17.705,0,0.0338,0.978,0.927,0.107,0.21,107.651,286307,4,Classical
520,spotify:track:3mrWC8aEj9JrxKl6gQ0HRv,0.426,0.0153,1,-32.834,1,0.0372,0.993,0.957,0.108,0.265,104.717,332747,4,Classical
524,spotify:track:1G3QPQkoXvpChjNUhd6Tfs,0.415,0.026,1,-36.7,1,0.0496,0.995,0.938,0.107,0.268,136.191,285443,4,Classical
525,spotify:track:4tqAHq4q1M9m9AOhaWqNKn,0.495,0.0696,7,-31.384,0,0.0296,0.96,0.898,0.119,0.276,95.193,179800,3,Classical
529,spotify:track:5gbZe9oyXXQDMLXFGsR4YC,0.441,0.00957,7,-26.839,1,0.0308,0.987,0.884,0.0954,0.373,75.403,225495,4,Classical
532,spotify:track:4HMf8DnYWNpEbjgvQJFWl6,0.459,0.0073,7,-29.42,1,0.0366,0.992,0.96,0.149,0.109,60.19,312373,3,Classical
533,spotify:track:55H4GT7iLma7fJyBhS7o4R,0.412,0.00313,2,-33.479,0,0.0579,0.99,0.96,0.0883,0.12,102.398,180062,4,Classical
538,spotify:track:0oT5AOdk4IUqVDOaIN86ng,0.405,0.075,2,-21.894,1,0.0449,0.989,0.949,0.105,0.251,67.186,154395,4,Classical
546,spotify:track:4RnZtmISmXtxJGUlf8c7fq,0.417,0.0339,9,-24.882,0,0.0418,0.993,0.922,0.114,0.0725,128.356,254760,4,Classical
562,spotify:track:7AbVRoHrQB3JMHC8J1P3Hi,0.422,0.00994,5,-23.797,0,0.0368,0.99,0.917,0.116,0.1,106.581,307560,4,Classical
568,spotify:track:0GG1KOVmUeZfipy9MB9m4e,0.471,0.0352,4,-27.457,0,0.0403,0.982,0.952,0.0871,0.123,114.923,191521,4,Classical
571,spotify:track:0P9iHoMjt1UlJfdcijOBHZ,0.435,0.034,5,-30.207,1,0.0465,0.992,0.934,0.0932,0.142,140.199,190291,4,Classical
572,spotify:track:4IF2sXer3MvDQT7JHo546V,0.42,0.00826,5,-30.966,0,0.0432,0.994,0.936,0.111,0.0436,68.03,193157,4,Classical
573,spotify:track:66rQOJEJDAxUUdOBxFE8FM,0.454,0.0253,3,-23.251,1,0.0641,0.991,0.938,0.107,0.246,140.14,140288,4,Classical
574,spotify:track:6sjn8knBvkR0eek1zEVkmn,0.427,0.0256,7,-26.416,0,0.0571,0.991,0.921,0.101,0.154,130.661,120107,3,Classical
576,spotify:track:3EyDeYw7ezBw4u0WIFI10y,0.437,0.0247,11,-32.052,0,0.0373,0.995,0.956,0.093,0.507,86.807,179483,4,Classical
580,spotify:track:01tRuWrspjX9qrrLqASycJ,0.46,0.1,10,-24.672,1,0.0505,0.986,0.441,0.0535,0.487,125.812,206370,4,Classical
583,spotify:track:0yquufspHuwdG9o7hVNv26,0.46,0.142,7,-25.042,0,0.0342,0.958,0.951,0.125,0.304,135.164,182125,4,Classical
586,spotify:track:111fM0tqZiGJyt123R6WNt,0.436,0.0179,5,-26.825,1,0.0354,0.996,0.813,0.0744,0.148,132.685,165248,3,Classical
591,spotify:track:1veZkUONsfxYDfqcGo6YbG,0.403,0.16,6,-22.779,1,0.0369,0.959,0.941,0.0911,0.16,72.571,204845,4,Classical
