,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
519,spotify:track:25wihqbcZQksW4o8G35acQ,0.465,0.483,7,-13.882,0,0.0343,0.828,0.771,0.248,0.804,146.014,110493,4,Alternative
530,spotify:track:1YZuigG1YcdgbfD7XJoCU5,0.456,0.711,2,-9.205,1,0.0362,0.203,6.61e-06,0.13,0.412,124.021,173800,4,Alternative
536,spotify:track:1wVBq2SkE1AOKoaOxUVvDC,0.435,0.912,5,-6.895,0,0.0965,0.555,0.537,0.773,0.321,138.564,175893,4,Alternative
539,spotify:track:6LbOC2J8ojSTwE6qIS4Eyh,0.453,0.788,9,-9.23,0,0.0341,0.00438,0.000121,0.131,0.55,78.504,139160,4,Alternative
540,spotify:track:1xKQbqQtQWrtQS47fUJBtl,0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,253333,4,Alternative
541,spotify:track:5TysIim10uxdcYtUqftQlZ,0.432,0.917,2,-7.067,1,0.12,0.111,3.48e-06,0.112,0.45,70.947,178067,4,Alternative
542,spotify:track:3yuhWcddu8hgwlMIAyFamR,0.423,0.896,4,-9.555,1,0.0368,0.0914,0.668,0.35,0.732,99.156,160840,4,Alternative
546,spotify:track:16iApoNZYaN6gbMtRRVV6B,0.484,0.655,4,-11.118,1,0.0316,0.033,0.0,0.0885,0.634,133.158,167453,4,Alternative
554,spotify:track:5uvosCdMlFdTXhoazkTI5R,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,429760,4,Alternative
556,spotify:track:5qBqBdfTEIWJwAS0Jm2F5R,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532,229360,4,Alternative
560,spotify:track:1F7euzYeo32NncoyEBo63v,0.428,0.843,9,-7.655,1,0.0747,0.058,0.0334,0.115,0.885,143.758,158800,4,Alternative
562,spotify:track:34miSNKQ0xN7EG8zzzaFzI,0.428,0.923,2,-4.454,0,0.123,0.0108,0.436,0.0985,0.681,151.005,146738,4,Alternative
563,spotify:track:1qTfHUVPsZTnrmvwQrAQdW,0.405,0.592,11,-12.309,1,0.0698,0.262,0.021,0.166,0.659,82.736,208667,4,Alternative
571,spotify:track:4Sb3TdqgOi35RoL78Y1LtC,0.476,0.731,0,-7.658,1,0.148,0.484,0.000392,0.129,0.613,126.8,142613,4,Alternative
572,spotify:track:6ybSSVTO6vMVJUk2bM68Y7,0.491,0.696,9,-10.114,1,0.0301,0.707,0.0,0.211,0.893,144.765,165360,4,Alternative
574,spotify:track:5rGD8FFgHw74cp3RPhucyg,0.415,0.72,7,-11.177,1,0.0492,0.481,0.0,0.185,0.619,176.785,234627,4,Alternative
578,spotify:track:0wwbxSLnXXws3sD0AKMfUT,0.492,0.553,9,-8.6,1,0.0397,0.406,0.000105,0.163,0.431,125.936,167200,4,Alternative
580,spotify:track:11Wda6v2dXnklOQYnJANjs,0.439,0.795,2,-9.424,1,0.0314,0.00407,0.00114,0.296,0.789,84.846,212067,4,Alternative
581,spotify:track:0lGEWOZvMexZFXckBJxlVO,0.463,0.926,7,-3.204,1,0.122,0.0555,0.0,0.478,0.437,91.197,284987,4,Alternative
591,spotify:track:61McqEmrnduKFDgd0lY6xf,0.413,0.545,0,-7.681,1,0.0455,0.144,0.0,0.322,0.513,181.343,216189,4,Alternative
594,spotify:track:2E69siDC6P2Rb2Cu3aITA3,0.48,0.651,2,-5.195,1,0.0286,0.191,4.89e-06,0.0864,0.458,124.097,263571,4,Alternative
598,spotify:track:6xiXaXON1rAuatwgLhIVlJ,0.488,0.469,9,-8.366,1,0.0321,0.553,0.0243,0.147,0.104,116.863,303055,4,Alternative
606,spotify:track:6r3lH9rMcwCDdx2SgcGRiH,0.491,0.535,0,-7.924,1,0.0258,0.636,0.477,0.186,0.148,144.098,292769,3,Alternative
608,spotify:track:58mrAYHhG1r89oqFK7skWu,0.444,0.271,11,-9.682,0,0.0265,0.898,0.0266,0.0873,0.122,78.0,178267,4,Alternative
614,spotify:track:2BQc8Z6W3m6YWRolCzqY9z,0.488,0.835,2,-7.89,1,0.0358,0.000501,0.000773,0.359,0.228,92.007,265160,4,Alternative
617,spotify:track:2zQGLaMQxHFiNtwu2WWeEl,0.441,0.278,0,-13.884,1,0.0401,0.772,0.0423,0.0522,0.0729,123.716,197835,4,Alternative
619,spotify:track:139vV5MsZSsOgzz0CU6Mgk,0.424,0.37,7,-11.085,1,0.0286,0.327,0.000825,0.253,0.486,169.987,168325,4,Alternative
627,spotify:track:5FF1oWxyDdSLEmqi4pp5mv,0.413,0.63,6,-7.732,1,0.0459,0.166,0.001,0.0839,0.198,132.157,222656,4,Alternative
631,spotify:track:10IrJGEY0f48OGywIkZauw,0.458,0.557,9,-10.289,0,0.0253,0.0763,0.000471,0.0996,0.539,77.06,217648,4,Alternative
644,spotify:track:6wCnKloIpE6mVOfcIoC1jI,0.476,0.653,2,-8.576,1,0.158,0.0633,5.04e-05,0.432,0.227,98.998,135000,4,Alternative
652,spotify:track:12c743o30lNiAysRaNu29y,0.497,0.486,6,-6.369,1,0.0425,0.656,6.94e-06,0.11,0.409,99.414,230440,4,Alternative
654,spotify:track:1x5NjsAnswyUVFXajhvDV1,0.471,0.444,0,-7.323,1,0.028,0.395,5.59e-06,0.0852,0.214,76.122,96489,3,Alternative
663,spotify:track:67wOIdJG6ErtSqsJ6gSvnN,0.419,0.902,1,-5.195,1,0.0528,0.0312,0.0466,0.3,0.453,157.007,221360,4,Alternative
672,spotify:track:6jnpmyEFhz9Y4ASLZ48rGJ,0.466,0.317,6,-11.113,0,0.0492,0.935,0.0959,0.144,0.194,105.622,240125,4,Alternative
681,spotify:track:0gZuzrQU7pLpcZf7JYqXiJ,0.443,0.591,9,-8.449,0,0.0296,0.279,0.00329,0.387,0.575,90.655,221692,4,Alternative
682,spotify:track:59bKaOQLiq0Rbx207FG2MR,0.431,0.665,0,-6.266,0,0.0423,0.189,0.00198,0.204,0.688,126.972,175684,4,Alternative
689,spotify:track:5QrIzPcWxuCD6v5TPue6PX,0.479,0.89,7,-5.014,0,0.176,0.0855,0.0,0.0929,0.325,142.995,199120,4,Alternative
694,spotify:track:6NP8HBlNKQzsq8K9O5dK0f,0.421,0.645,0,-9.056,1,0.032,0.000164,0.326,0.369,0.106,144.838,162207,4,Alternative
696,spotify:track:4zx4H3Q0ASymmPgbfUmeRo,0.439,0.919,1,-4.561,0,0.0649,0.00389,0.437,0.12,0.55,132.301,202777,4,Alternative
697,spotify:track:18q5OmlDTbSm8w9J1i17dT,0.413,0.876,11,-4.577,1,0.057,0.000938,0.000104,0.387,0.341,164.08,214724,4,Alternative
705,spotify:track:4QEsxFZRA3RnjQAPYS3UXa,0.407,0.714,2,-8.201,1,0.0478,0.00438,0.00235,0.0914,0.342,125.481,290360,4,Alternative
709,spotify:track:00ieljc71OVNDOvJ22tbiN,0.417,0.697,0,-5.508,1,0.0378,0.00186,0.00496,0.313,0.509,180.082,147172,4,Alternative
714,spotify:track:0xkSfBYxRMTLgrinRJlzfz,0.456,0.775,2,-7.125,1,0.037,0.000313,0.823,0.674,0.793,80.026,201000,4,Alternative
716,spotify:track:7Az7rVogNu6XpLnykVI5fA,0.461,0.87,1,-3.458,0,0.042,0.00527,1.59e-05,0.343,0.79,155.913,176006,4,Alternative
722,spotify:track:2882UEd8DX6ojWlUtUkH2D,0.462,0.927,6,-3.905,0,0.0452,3.44e-05,0.13,0.0804,0.149,140.011,265893,4,Alternative
723,spotify:track:5IcivgTMTJQFxh0ug2sg65,0.458,0.703,3,-6.805,0,0.0513,0.0182,0.0106,0.256,0.39,167.904,166754,4,Alternative
728,spotify:track:0Ymr7bBhvXLu8xrpCN2GUs,0.49,0.731,1,-6.572,1,0.0569,0.0226,0.0,0.359,0.588,153.966,164882,4,Alternative
731,spotify:track:1TCo3YtWQSpfpUGhb4Dttp,0.44,0.863,7,-4.522,1,0.0391,0.00143,0.00197,0.118,0.596,82.538,187636,4,Alternative
738,spotify:track:6HUAWdvqLh5mGPGhZGRGjx,0.414,0.767,0,-4.948,0,0.0394,0.0024,1.85e-06,0.125,0.224,159.75,281023,4,Alternative
741,spotify:track:6iuaN8P73TOrTo4MCFpIc8,0.462,0.855,2,-3.76,1,0.0816,0.0192,0.0,0.261,0.236,137.765,227940,4,Alternative
742,spotify:track:6tYin3Nya3wS8F48TueJUJ,0.486,0.931,4,-4.992,0,0.0745,0.014,1.77e-06,0.289,0.42,75.099,170426,4,Alternative
748,spotify:track:0hfEJ8ls6bsD4mE1xLVaJO,0.44,0.913,5,-4.523,1,0.0528,0.00212,0.0,0.207,0.584,158.098,245507,4,Alternative
749,spotify:track:0twq6M40aU5NBb76xdhyJa,0.483,0.947,6,-3.205,0,0.0376,0.00773,0.0133,0.131,0.872,169.971,213948,4,Alternative
754,spotify:track:1ln5j3zS7KDa4IYHJb2HyN,0.449,0.909,0,-4.809,1,0.0816,6.84e-05,0.00059,0.872,0.515,164.971,216533,4,Alternative
765,spotify:track:0LpdFQJkbgtohvtT4tnXP9,0.464,0.875,2,-3.672,1,0.081,0.000153,0.0,0.144,0.32,147.126,197653,4,Alternative
768,spotify:track:3FplTtfLhflB1ZqdnubwgV,0.48,0.853,6,-5.425,1,0.0828,0.00515,1.94e-06,0.381,0.554,148.476,166474,4,Alternative
773,spotify:track:16DgQG7hAb6S7Bb783rRro,0.471,0.863,5,-4.919,1,0.0568,0.0191,2.05e-06,0.235,0.69,184.107,183693,4,Alternative
776,spotify:track:3tKtvdq8ljuxOsXvlhL0sc,0.421,0.963,9,-2.976,1,0.0502,0.000121,0.0,0.121,0.679,125.239,179920,4,Alternative
779,spotify:track:1RoqxQ9jOyHWObm6mlV99n,0.435,0.714,2,-5.062,1,0.0451,0.142,0.0,0.0952,0.494,159.858,163786,4,Alternative
787,spotify:track:74uoN2UfgdUAzwVeFaRUE2,0.487,0.509,0,-9.051,1,0.0241,0.58,0.00878,0.115,0.2,94.017,206465,4,Alternative
798,spotify:track:1aXV8GrmQLvgoFtBPERP7E,0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01,122339,4,Alternative
800,spotify:track:51Grh1RyUDcMBbpuyUIUHI,0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,161929,3,Alternative
802,spotify:track:1NZs6n6hl8UuMaX0UC0YTz,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,351640,4,Alternative
806,spotify:track:1KIJclzEbNhSVw8tiHPWwE,0.498,0.81,7,-4.065,1,0.0263,0.00392,0.00717,0.0635,0.594,79.935,189160,4,Alternative
813,spotify:track:2ihCaVdNZmnHZWt0fvAM7B,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,266600,4,Alternative
